episode,average_loss
1,5.61632328989366
2,2492.13784798588
3,1026609.5647898357
4,6626828.238220734
5,32065769.784944292
6,26524156.636743903
7,41341214.78683817
8,49893877.22296969
9,79894580.89188628
10,136851972.653215
11,187978821.71025562
12,174837456.3808902
13,221408471.64317954
14,314604419.5278796
15,354367788.4923915
16,533809295.208618
17,736850123.1044811
18,892447239.3433334
19,1143400524.0685313
20,1305695443.7665703
21,1418290752.7871916
22,2743580327.5544014
23,2977002143.9915175
24,3962181296.506924
25,4540198417.836384
26,4984898463.630543
27,3994554357.6402035
28,4318341894.380901
29,8822750195.281715
30,5071109773.809322
31,9625843181.494217
32,11882407632.861252
33,15984958070.065079
34,17494076441.246586
35,22013024650.263027
36,16966274858.42026
37,13121824151.058388
38,16899488374.873148
39,15230583493.693178
40,21668827021.981342
41,15620833464.451815
42,15834237008.475979
43,12449857895.678417
44,17832818221.01267
45,17787139232.672703
46,28649472700.011013
47,21867550410.01574
48,24108436586.18512
49,16390255363.690676
50,30382968784.73445
51,33970364877.710712
52,33734859011.003826
53,28489554929.90764
54,24341953776.70545
55,38096472716.58017
56,43865580236.41649
57,39750277349.650444
58,42205534637.516396
59,38119598610.90423
60,41642320838.241165
61,45582055934.18905
62,40528815778.8387
63,51848845576.333374
64,30558891252.025303
65,25160955936.393772
66,36753157670.910545
67,40106674868.17847
68,43458787916.777466
69,33746508790.23484
70,38547269819.41394
71,30049745133.346268
72,29232689952.13017
73,27429270129.85619
74,17139632810.674513
75,36229833888.0621
76,53412653009.704216
77,26877671932.16292
78,29195755519.114155
79,28218344951.00969
80,34059872706.910374
81,31203126012.904552
82,25834965679.43222
83,22827430772.624893
84,30119097670.757812
85,22313398413.90078
86,23536441284.60103
87,14071893511.964367
88,12328178423.90069
89,10751506364.222208
90,9819749855.813087
91,10265897011.245426
92,14278786406.017096
93,8097133027.094154
94,8870140855.827585
95,7468085407.736171
96,6730496492.1608095
97,4460854505.174531
98,5958190860.737213
99,3753254581.9074435
100,4048942780.8419333
101,3184431046.1740384
102,3413883620.5020046
103,2211902972.7067585
104,3539626038.465844
105,2644185368.3573833
106,6141888921.575273
107,2108709375.4726453
108,1614957020.0283146
109,1754475011.0417438
110,1046182160.3645569
111,1033856320.1921396
112,1401721345.2381275
113,789209760.1672169
114,698539467.4292574
115,453432811.1228073
116,170007746.31728804
117,343022521.42113245
118,202962753.8741478
119,110541583.39841759
120,148711571.94678584
121,96540721.54982339
122,54805573.63538582
123,68858321.63151938
124,33525641.00152379
125,24361498.113851372
126,13268651.497989824
127,10057251.061008811
128,5275999.755910501
129,2357821.445936817
130,1713063.398987951
131,1424604.7575207832
132,503294.23616662726
133,73215.65400504936
134,65947.61967980722
135,32579.623213277522
136,5496.969848250226
137,812.546142166747
138,97.6097880326186
139,42.883191514335486
140,35.083105701892954
141,30.872652783867814
142,45.085236907017546
143,65.2368022598401
144,42.89725781982779
145,86.52525542175887
146,72.0887224925959
147,78.54945845618055
148,115.02053703197748
149,134.17888842311177
150,131.6707246933999
151,101.22157882816039
152,141.18110709879585
153,158.362589236401
154,138.076000894314
155,124.71730460161741
156,109.1493810826188
157,94.6166173395763
158,84.08580998874932
159,91.70189420931932
160,76.04563171030506
161,105.0404867062888
162,101.32904733320122
163,88.4685494810213
164,91.84164374236444
165,87.46475222264928
166,104.61347076121855
167,79.03793967648699
168,98.69226705928851
169,99.6610508558665
170,83.12764484552915
171,90.43644588865266
172,74.16778994923988
173,81.72987432060063
174,94.84108435236446
175,103.43440359011389
176,132.6259389826146
177,157.20574604930314
178,157.71445054356474
179,346.193284881447
180,276.84356029536104
181,211.91175161926589
182,232.45281996630956
183,231.52654670860682
184,238.47973290069083
185,278.70333759959584
186,263.2018781568815
187,361.76290092408635
188,485.0366159121232
189,1183.5668647686311
190,1083.2481672151252
191,1179.2577842285561
192,900.3279760259876
193,875.5656439964507
194,692.4782109592601
195,350.14209700895094
196,191.8047559075295
197,159.66881286578965
198,136.13328990774446
199,194.3613081016457
200,143.13851554611452
201,165.50257170185463
202,149.08947333158827
203,160.50181574596849
204,158.58982370399605
205,187.400462537643
206,205.90889588911634
207,229.69810690456592
208,181.45616829288042
209,249.74115282453113
210,286.9982535967359
211,142.5778555099681
212,230.9171656446939
213,218.50333820488598
214,217.89706217390497
215,222.88880179228195
216,214.91761066381454
217,146.95996723806937
218,264.0193157673835
219,318.56761766043934
220,265.3869921969407
221,358.7129234801773
222,289.3340831311589
223,282.2335159045864
224,294.1873939204834
225,259.0720232830316
226,304.74181028747563
227,283.1518262114555
228,326.1437388103605
229,296.4193491410871
230,201.14027987966364
231,229.83875865425634
232,313.3372743698097
233,407.9601208308834
234,273.1622358495906
235,186.9240165008469
236,358.76378183488794
237,426.88365655179666
238,375.05994721479516
239,342.46590471550655
240,302.4098821980075
241,375.4113477212593
242,269.8337637475876
243,254.50125906891827
244,270.2925020870408
245,330.25779350875564
246,571.8189526439393
247,355.8233487102169
248,472.9436839327125
249,226.02266870381135
250,227.38102500825534
251,186.33278228286372
252,209.87386206168281
253,170.70341443276618
254,254.0383377283492
255,122.07907422109942
256,217.51942560591928
257,203.3299422002792
258,291.0149127991094
259,300.31259269386004
260,246.8542924602215
261,312.8695890656577
262,176.9304066675884
263,274.8137925625656
264,237.2451454021662
265,260.0273964515613
266,232.51615228726268
267,259.09123662862424
268,292.96117838126696
269,313.3859975009043
270,235.4635586485647
271,267.07468865626885
272,192.3001297576925
273,267.5457081987898
274,341.814356683641
275,280.139767825169
276,331.1776016161204
277,274.70785854080185
278,304.9970564672723
279,362.35941959915976
280,358.3752224362109
281,342.45494932258543
282,303.68289002169934
283,293.3150008069265
284,385.4227788811297
285,349.76852023728105
286,470.5538901977507
287,337.62879038673356
288,413.50709517062063
289,430.5138461279884
290,497.3278366398844
291,423.2651899133369
292,398.3840894382293
293,476.52348071124953
294,406.2943167833265
295,543.4751731081736
296,359.4123600266225
297,499.37536347561706
298,506.73265755881005
299,488.2122550815911
300,399.75255106727894
301,471.48844780088103
302,574.8471087858718
303,538.9564704437832
304,451.849614488673
305,584.9162133852668
306,703.6499306496104
307,849.8926856190006
308,682.9696188602619
309,738.6302515804227
310,707.9230376518279
311,935.4408777166253
312,873.2042430189642
313,870.8489356551555
314,934.9057167025262
315,940.0015122422685
316,1061.0807986874709
317,1209.975118594075
318,1498.717692000361
319,1092.0290100687396
320,1275.0535455981042
321,1588.7347354331253
322,2351.995368244328
323,2408.559589263389
324,2302.2078691399374
325,3607.0372768829234
326,4219.631692167402
327,6530.061430758843
328,8725.45567224417
329,8761.679429243448
330,12609.412590463324
331,12296.812601400921
332,15450.157678038
333,15791.788416696936
334,20025.87078391783
335,21810.93963824621
336,26329.62004087774
337,33114.48354001268
338,27212.75886504621
339,29972.348734043884
340,33251.03823264434
341,36086.21729517665
342,42770.2799938398
343,60142.234138894484
344,53677.538076851895
345,45679.49961592527
346,70177.00930795065
347,79728.99750835172
348,92918.93709301033
349,90149.69553359084
350,111576.54683200334
351,139121.07838647286
352,144593.2414609763
353,143988.25901718644
354,178766.87925478382
355,236407.35907014782
356,307129.43563951965
357,293101.9478118193
358,319423.9977696734
359,316083.1019209088
360,324947.3161769935
361,339902.11187808256
362,344390.04521552386
363,339979.9451310462
364,414776.0556218083
365,430559.3410196235
366,500923.4031832754
367,661071.9244911463
368,659116.5404268957
369,760288.3959887462
370,843211.6807877064
371,779008.4005792189
372,929758.7350897886
373,1161813.9218141714
374,1353472.740707549
375,1215089.7552427156
376,1747540.6667230313
377,1968342.5114106974
378,1555005.3820435223
379,1642859.2545970604
380,1793756.0200156202
381,1933896.0811027861
382,1669074.2224551896
383,2145738.201775774
384,2544370.9120823173
385,2830605.5687770206
386,2616067.426010945
387,2867978.8376532164
388,3824970.8781870645
389,4352361.112706532
390,3619320.9654674353
391,3613435.563635763
392,2759885.421575558
393,2591912.2563830107
394,3801255.1618963117
395,4576400.9767514225
396,5906233.106249161
397,5298890.476317946
398,4666910.663918702
399,3504433.700300181
400,5688514.012100674
401,5686934.063391385
402,7395499.700469596
403,5289471.24971307
404,6718095.982773
405,6080209.45287796
406,5967940.597709588
407,7690210.399364484
408,8897541.314519295
409,7412869.62608772
410,8963146.98128327
411,6561683.133502223
412,8122380.905004036
413,8917896.178888535
414,9348050.846051075
415,8747409.937663253
416,8372555.6876486065
417,7355958.088394349
418,7730898.347409822
419,9318300.570810534
420,8687586.319962457
421,9352453.321420971
422,10263667.840842726
423,6314923.589493573
424,9551015.786714185
425,8651776.525689978
426,7936321.207725813
427,7945274.700936989
428,6702074.3347498635
429,6936231.980258328
430,7698026.056682062
431,8142252.2950008
432,6022173.181896781
433,6317222.816122008
434,4770402.998160702
435,4962022.461709172
436,6469904.85885994
437,6083577.0719046565
438,7322533.124867785
439,6576516.534307583
440,5939312.08766996
441,6920468.838672051
442,7594415.3004610995
443,7638161.238711509
444,6939804.966426053
445,7298981.646669855
446,7347326.929729708
447,5259508.548414091
448,8680351.062261276
449,7874255.791191392
450,6202118.546722585
451,7103588.4052564325
452,6000360.919007814
453,6452683.537835733
454,6624642.340647445
455,5090530.994956933
456,2446158.7938087867
457,6202080.724752856
458,5925976.220097592
459,5937412.859381982
460,7385614.715920713
461,6712053.755993985
462,6412207.926972251
463,4650765.347745826
464,6421611.826835708
465,5736701.267828497
466,4894579.855979834
467,5346946.119032987
468,4990475.083512529
469,5067293.966850147
470,6166032.765067738
471,5863691.740364928
472,5843700.112025813
473,4303288.86606254
474,4264844.277148966
475,3976715.930523164
476,3601668.194263003
477,3937886.2049032873
478,3227416.673507708
479,5326154.847800602
480,3385642.204810971
481,2568951.702506274
482,3308121.7295532636
483,2191635.1224627383
484,2775342.256757033
485,3025720.247834151
486,2448984.7160532326
487,2336177.0189414714
488,1938210.3129173208
489,2117336.7798030493
490,1828500.0156651293
491,2005977.7439556464
492,1254876.250472328
493,1783583.1457901057
494,1837751.3636925118
495,1963724.2967378916
496,2925514.228358178
497,1563550.9026611804
498,1963464.1914009356
499,1801840.311157466
500,1848161.3066357453
501,1260090.455983435
502,1650970.6889502115
503,1596681.4618636956
504,963977.2971913404
505,1463118.9782783508
506,1183160.484732325
507,1408708.3419177798
508,1337254.4874046901
509,1122187.0263505166
510,1090785.7261994835
511,945170.4800640277
512,959667.5683748929
513,1006338.8813591929
514,1004018.9912931606
515,761328.3073072882
516,955052.0003901445
517,898481.3501099832
518,668515.1992392741
519,626575.7266447638
520,551716.8182404125
521,926251.3380289463
522,999111.5617629794
523,870246.2733507149
524,1002657.1830621188
525,995322.7613277182
526,896268.1534455856
527,734571.5934912881
528,692776.4470591333
529,804761.4092605421
530,681799.8877016592
531,780647.8554827168
532,545202.0786448247
533,651564.0120610719
534,558123.2136911561
535,763075.3991344471
536,752086.0698043369
537,593961.1354743142
538,653442.2724071149
539,683455.6527073858
540,559712.0458395454
541,491145.5828176507
542,473278.5862992635
543,514114.4112041051
544,662243.785953572
545,625438.4523046174
546,615181.6742516301
547,412617.7498221855
548,459151.43250073
549,514603.9232456537
550,494388.9797871949
551,555292.0686665745
552,525805.0226472599
553,618095.8696797224
554,495466.13985550986
555,537680.5915232082
556,573725.8395590187
557,970659.2716106706
558,515433.3766953796
559,529500.7788279162
560,533746.4765204415
561,459744.29140798276
562,706661.6676915556
563,628969.2862980689
564,751241.4265518964
565,822598.4208442472
566,502938.7595458448
567,626749.4368106056
568,584671.3661606042
569,723596.499984546
570,716806.5551584817
571,624258.394848362
572,465841.52282827033
573,522332.8062207789
574,572542.3047112888
575,441143.3053276618
